epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,299.372,1.65631,2.55947,1.48862,0.00333,1,0.64318,0.33903,1.48421,3.66786,1.61229,0.0006,0.0006,0.0006
2,557.401,1.52935,2.12695,1.50002,0.52402,0.50044,0.53099,0.23275,1.88878,3.29785,2.00801,0.00117974,0.00117974,0.00117974
3,847.497,1.55088,1.96204,1.5022,0.28783,0.29545,0.17136,0.03843,2.57274,11.0651,2.82491,0.00171856,0.00171856,0.00171856
4,1097.78,1.59176,1.78917,1.47773,0.0736,0.06818,0.03181,0.0098,2.72815,3.78573,2.85677,0.001802,0.001802,0.001802
5,1352.48,1.52418,1.66077,1.44295,0.78455,0.81818,0.87547,0.52883,1.35573,2.50458,1.44128,0.001736,0.001736,0.001736
6,1604.87,1.56528,1.614,1.45855,0.63033,0.65909,0.5858,0.20203,2.20166,2.24711,1.98181,0.00167,0.00167,0.00167
7,1854.59,1.50886,1.41485,1.43578,0.66241,0.86364,0.82475,0.30897,1.9241,1.88825,1.69745,0.001604,0.001604,0.001604
8,2104.72,1.51683,1.31156,1.3912,0.51392,0.61364,0.53439,0.13057,2.32949,2.66705,2.09168,0.001538,0.001538,0.001538
9,2358.83,1.39727,1.2519,1.36267,0.86548,0.87749,0.94036,0.51127,1.63411,1.22962,1.47898,0.001472,0.001472,0.001472
10,2607.92,1.41865,1.14147,1.35196,0.90103,0.86364,0.93153,0.50191,1.61822,1.20093,1.58267,0.001406,0.001406,0.001406
11,2863.37,1.4464,1.13989,1.36379,0.95412,0.9454,0.98182,0.58226,1.45363,1.06621,1.32959,0.00134,0.00134,0.00134
12,3233.83,1.43831,1.08826,1.35758,0.95311,0.92404,0.97656,0.4454,1.68077,1.02927,1.56052,0.001274,0.001274,0.001274
13,3593.09,1.34045,1.05197,1.29709,0.97266,1,0.99256,0.60214,1.37331,0.81421,1.23888,0.001208,0.001208,0.001208
14,3931.02,1.39481,1.00237,1.30915,0.97612,0.97727,0.98134,0.57781,1.45607,0.94414,1.30301,0.001142,0.001142,0.001142
15,4266.28,1.31667,0.96088,1.25871,0.99125,1,0.995,0.66018,1.22642,0.82616,1.2575,0.001076,0.001076,0.001076
16,4572.64,1.31306,0.95688,1.27956,0.96618,0.97727,0.99091,0.65911,1.26542,0.77701,1.21683,0.00101,0.00101,0.00101
17,4840.6,1.32918,0.9557,1.28389,0.97667,0.95157,0.97808,0.67018,1.22898,0.78978,1.23209,0.000944,0.000944,0.000944
18,5096.77,1.2716,0.8977,1.24573,0.99734,1,0.995,0.59823,1.33702,0.75183,1.18128,0.000878,0.000878,0.000878
19,5348.48,1.29115,0.9134,1.26563,0.97706,1,0.99456,0.65855,1.2192,0.69069,1.1655,0.000812,0.000812,0.000812
20,5599.75,1.22651,0.86092,1.23071,0.97524,1,0.99456,0.65297,1.28878,0.70077,1.28915,0.000746,0.000746,0.000746
21,5856.91,1.17262,0.73642,1.22058,1,0.9967,0.995,0.66045,1.27387,0.69147,1.23266,0.00068,0.00068,0.00068
22,6187.54,1.19852,0.68988,1.24257,0.99851,1,0.995,0.64095,1.26315,0.71677,1.18705,0.000614,0.000614,0.000614
23,6550.14,1.10709,0.63695,1.18839,1,0.99298,0.995,0.65863,1.24733,0.63994,1.1534,0.000548,0.000548,0.000548
24,6891.11,1.05079,0.61715,1.15962,1,0.99394,0.995,0.68865,1.17774,0.57746,1.18029,0.000482,0.000482,0.000482
25,7183.86,1.05408,0.58937,1.14508,0.9961,0.97727,0.99456,0.68622,1.13668,0.59282,1.12866,0.000416,0.000416,0.000416
26,7502.03,1.02533,0.56202,1.11769,0.99846,1,0.995,0.71828,1.07624,0.5658,1.06697,0.00035,0.00035,0.00035
27,7787.13,1.01181,0.55993,1.1333,0.9985,1,0.995,0.71386,1.09514,0.55701,1.08036,0.000284,0.000284,0.000284
28,8087.12,0.98113,0.54388,1.10149,0.99816,1,0.995,0.69074,1.09614,0.5266,1.0811,0.000218,0.000218,0.000218
29,8337.84,0.94105,0.53223,1.07598,0.99731,1,0.995,0.69663,1.0952,0.51787,1.0778,0.000152,0.000152,0.000152
30,8591.54,0.94334,0.51833,1.08116,0.9984,1,0.995,0.69781,1.06967,0.50439,1.07273,8.6e-05,8.6e-05,8.6e-05
