epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,384.93,1.82455,2.01038,1.8192,0.56235,0.88636,0.75514,0.36495,1.8162,2.5487,1.56753,0.00052,0.00052,0.00052
2,745.799,1.55751,1.51394,1.6512,0.85852,0.36364,0.56368,0.27663,2.06093,2.44172,1.81175,0.00103901,0.00103901,0.00103901
3,1103.44,1.59085,1.71338,1.65933,0.08543,0.20171,0.03681,0.01169,2.58029,6.01229,2.46706,0.00153664,0.00153664,0.00153664
4,1461.55,1.50931,1.52893,1.60816,0.68345,0.5,0.5426,0.17752,2.46784,2.15304,2.1023,0.0018812,0.0018812,0.0018812
5,1818.21,1.50614,1.44704,1.58206,0.25787,0.20455,0.12705,0.03736,2.80556,2.67053,2.61869,0.0018416,0.0018416,0.0018416
6,2173.99,1.4803,1.46521,1.58656,0.73091,0.36364,0.48762,0.21226,2.26663,2.25499,2.06047,0.001802,0.001802,0.001802
7,2525.49,1.45711,1.46606,1.58368,0.72693,0.56818,0.71468,0.27344,1.99489,1.65409,1.9016,0.0017624,0.0017624,0.0017624
8,364.726,1.49489,1.5161,1.58978,0.63992,0.25,0.25665,0.12673,3.22812,3.25399,3.97776,0.0017228,0.0017228,0.0017228
9,729.12,1.38536,1.38709,1.55956,0.82119,0.56818,0.69887,0.32137,1.96894,1.99857,1.84936,0.0016832,0.0016832,0.0016832
10,1087.27,1.3852,1.37074,1.57713,0.44089,0.40909,0.39247,0.14964,2.49772,2.38685,2.38464,0.0016436,0.0016436,0.0016436
11,1450.35,1.32096,1.30928,1.50337,0.78191,0.65909,0.73615,0.272,2.1711,1.87185,1.93611,0.001604,0.001604,0.001604
12,1807.56,1.33396,1.2722,1.49471,0.56375,0.58746,0.54849,0.13255,2.85331,1.6162,2.46377,0.0015644,0.0015644,0.0015644
13,2161.16,1.39751,1.34296,1.54639,0.74995,0.81799,0.87254,0.38817,1.93922,1.23588,1.85544,0.0015248,0.0015248,0.0015248
14,2515.56,1.29632,1.26496,1.47087,0.71185,0.52273,0.62739,0.22763,2.52489,1.73532,2.30546,0.0014852,0.0014852,0.0014852
15,2873.18,1.36722,1.23028,1.50666,0.64244,0.77273,0.81956,0.32958,2.09958,1.50442,1.91391,0.0014456,0.0014456,0.0014456
16,371.989,1.27217,1.168,1.46379,0.64652,0.36364,0.3687,0.1254,2.71914,2.84879,5.71895,0.001406,0.001406,0.001406
17,733.543,1.23565,1.14732,1.47964,0.74791,0.53957,0.65923,0.23104,2.18538,1.72823,2.0924,0.0013664,0.0013664,0.0013664
18,1094.47,1.24916,1.18221,1.45003,0.6482,0.65909,0.69073,0.23628,2.6021,1.50291,2.53289,0.0013268,0.0013268,0.0013268
19,1460.49,1.2024,1.09951,1.41015,0.75669,0.70686,0.78925,0.2745,2.27308,1.48699,2.15047,0.0012872,0.0012872,0.0012872
20,1822.92,1.20467,1.07794,1.39533,0.82578,0.61364,0.74217,0.29861,1.9805,1.66096,1.84025,0.0012476,0.0012476,0.0012476
21,2185.66,1.22877,1.06029,1.41322,0.83035,0.65909,0.79943,0.33437,1.97016,1.57535,1.88303,0.001208,0.001208,0.001208
22,2543.91,1.17313,1.05354,1.39358,0.74927,0.72727,0.78984,0.36174,1.99423,1.51426,1.92035,0.0011684,0.0011684,0.0011684
23,2905.91,1.17462,1.02854,1.39262,0.73829,0.8336,0.82805,0.3285,2.01972,1.30904,1.88764,0.0011288,0.0011288,0.0011288
24,3268.97,1.2226,1.14338,1.45935,0.88147,0.84516,0.93736,0.41513,1.94388,1.23518,1.67768,0.0010892,0.0010892,0.0010892
25,3629.83,1.25477,0.99784,1.38316,0.82539,0.77273,0.85244,0.43416,1.8244,1.24641,1.79458,0.0010496,0.0010496,0.0010496
26,3985.93,1.17127,1.04007,1.3929,0.72775,0.61364,0.6971,0.288,2.29323,1.79924,2.19394,0.00101,0.00101,0.00101
27,4338.19,1.18915,1.03476,1.39721,0.66396,0.67368,0.70305,0.34161,1.84744,1.63544,1.74996,0.0009704,0.0009704,0.0009704
28,4694.43,1.14963,1.03145,1.36069,0.78049,0.77273,0.84216,0.41785,1.81504,1.38638,1.73364,0.0009308,0.0009308,0.0009308
29,5056.13,1.09483,0.94541,1.3106,0.87397,0.72727,0.85421,0.373,2.06353,1.2341,1.92872,0.0008912,0.0008912,0.0008912
30,5405.73,1.09625,0.92485,1.32345,0.7227,0.88851,0.88627,0.34025,2.24712,1.33255,2.18672,0.0008516,0.0008516,0.0008516
31,5759.98,1.10316,1.16835,1.32612,0.85751,0.82069,0.89594,0.35871,2.33426,1.1118,2.21103,0.000812,0.000812,0.000812
32,362.438,1.08326,0.93196,1.31226,0.77561,0.62862,0.69494,0.30779,2.29379,1.78962,2.16933,0.0007724,0.0007724,0.0007724
33,720.24,1.04746,0.92275,1.31489,0.79802,0.75,0.80077,0.38536,2.01995,1.59573,1.9613,0.0007328,0.0007328,0.0007328
34,1070.99,1.0493,0.91522,1.30733,0.673,0.84198,0.77409,0.34006,2.05267,1.34358,2.11637,0.0006932,0.0006932,0.0006932
35,1416.5,1.00824,0.84851,1.28553,0.70203,0.70455,0.70921,0.32056,2.14785,1.35492,2.2181,0.0006536,0.0006536,0.0006536
36,1764.57,1.03451,0.84474,1.28559,0.80684,0.70455,0.78775,0.37946,1.94597,1.28414,1.91941,0.000614,0.000614,0.000614
37,2116.14,1.02005,0.84292,1.27152,0.79313,0.75,0.84619,0.39369,2.00383,1.23376,1.99092,0.0005744,0.0005744,0.0005744
38,2469.31,0.96305,0.81716,1.25471,0.76797,0.79545,0.78513,0.30568,2.37393,1.2025,2.31981,0.0005348,0.0005348,0.0005348
39,2824.64,1.00033,0.82371,1.2716,0.87156,0.77115,0.86965,0.41953,1.93641,1.11695,1.96474,0.0004952,0.0004952,0.0004952
40,3177.69,1.01847,0.8954,1.29716,0.8095,0.84091,0.86345,0.46243,1.85005,1.06633,1.86892,0.0004556,0.0004556,0.0004556
41,3528.44,1.03656,0.79784,1.33874,0.74811,0.77273,0.76129,0.34879,2.28948,1.21801,2.4962,0.000416,0.000416,0.000416
42,3887.71,0.99559,0.69543,1.33514,0.74672,0.81818,0.8107,0.40757,2.07513,1.16937,2.33046,0.0003764,0.0003764,0.0003764
43,4248.34,0.9492,0.65527,1.24957,0.83455,0.81818,0.90297,0.43288,1.90321,1.17107,1.89492,0.0003368,0.0003368,0.0003368
44,4603.5,0.912,0.62336,1.26206,0.8581,0.79545,0.89649,0.41806,1.9606,1.2511,1.93409,0.0002972,0.0002972,0.0002972
45,4959.59,0.87728,0.64137,1.24408,0.85491,0.80364,0.88668,0.43294,1.9317,1.16768,1.94915,0.0002576,0.0002576,0.0002576
46,5310.64,0.90459,0.62658,1.26483,0.90408,0.79545,0.91629,0.46398,1.91037,1.09987,1.89857,0.000218,0.000218,0.000218
47,5664.03,0.921,0.69278,1.2514,0.88449,0.81818,0.90945,0.42833,1.9782,1.14726,1.92503,0.0001784,0.0001784,0.0001784
48,6024.96,0.89378,0.62327,1.23485,0.85934,0.83319,0.87157,0.40314,2.05047,1.17859,2.0085,0.0001388,0.0001388,0.0001388
49,6380.78,0.89099,0.65316,1.24389,0.82044,0.83088,0.85521,0.43228,1.91362,1.11792,1.91667,9.92e-05,9.92e-05,9.92e-05
50,6732.28,0.94128,0.62106,1.30165,0.89309,0.72727,0.85361,0.44445,1.85174,1.0814,1.85396,5.96e-05,5.96e-05,5.96e-05
