epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2721.28,1.46695,1.92043,1.25755,0.55394,0.52174,0.55624,0.33555,1.71238,1.91715,1.91007,0.000665169,0.000665169,0.000665169
2,5264.51,1.56596,1.395,1.33283,0.57952,0.62921,0.56598,0.33638,1.59569,1.77479,1.89752,0.00126591,0.00126591,0.00126591
3,7822.82,1.54599,1.30816,1.304,0.5669,0.59757,0.54877,0.2837,1.52395,2.33177,1.76225,0.00180065,0.00180065,0.00180065
4,10514.6,1.49479,1.23462,1.28061,0.67082,0.72826,0.68216,0.45879,1.29528,1.40396,1.53239,0.001703,0.001703,0.001703
5,12936.6,1.45922,1.13396,1.27616,0.78201,0.81522,0.8727,0.64326,1.17592,1.08391,1.4042,0.001604,0.001604,0.001604
6,15097.2,1.41111,1.06353,1.22043,0.89981,0.78096,0.8797,0.67432,1.06617,1.00914,1.35816,0.001505,0.001505,0.001505
7,17262.9,1.37249,1.02102,1.19897,0.90919,0.76177,0.87679,0.66846,1.04361,1.01431,1.2416,0.001406,0.001406,0.001406
8,19942.7,1.32963,0.94076,1.17797,0.91407,0.8587,0.91502,0.70387,1.03574,0.94549,1.25666,0.001307,0.001307,0.001307
9,22642.3,1.26339,0.86252,1.15613,0.90689,0.81522,0.90727,0.71004,0.91373,0.85055,1.18178,0.001208,0.001208,0.001208
10,24941.1,1.29036,0.89069,1.16044,0.93324,0.8587,0.9513,0.73689,0.92402,0.70393,1.18548,0.001109,0.001109,0.001109
11,34155.2,1.30819,0.82158,1.16227,0.96943,0.82609,0.93387,0.72748,0.94688,0.79299,1.16866,0.00101,0.00101,0.00101
12,36795.9,1.27797,0.81076,1.15132,0.98776,0.8773,0.95672,0.73427,0.94577,0.72145,1.15425,0.000911,0.000911,0.000911
13,39612.9,1.25772,0.75943,1.13128,0.95488,0.92022,0.95079,0.75636,0.92754,0.64162,1.15884,0.000812,0.000812,0.000812
