epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,943.759,1.29759,2.34043,1.15905,0.86618,0.68478,0.82422,0.6102,0.89288,2.01991,1.21505,0.000660714,0.000660714,0.000660714
2,1952.09,1.33543,1.63004,1.18076,0.86068,0.67154,0.79143,0.53334,1.20217,1.53602,1.41826,0.0013011,0.0013011,0.0013011
3,2840.84,1.38898,1.33456,1.22873,0.67677,0.58696,0.69255,0.47643,1.09508,2.62339,1.38326,0.00191508,0.00191508,0.00191508
4,3658.9,1.38062,1.18484,1.22243,0.89543,0.76087,0.86671,0.61487,1.09128,1.23955,1.41622,0.0018812,0.0018812,0.0018812
5,4361.52,1.35725,1.08016,1.19458,0.89651,0.75333,0.84712,0.62683,0.96288,1.24607,1.22493,0.0018416,0.0018416,0.0018416
6,5060.72,1.31868,0.999,1.19681,0.93771,0.79348,0.90756,0.69351,0.90459,0.83205,1.16243,0.001802,0.001802,0.001802
7,5763.33,1.29058,0.95629,1.16115,0.79674,0.80956,0.88614,0.65964,0.9429,0.96946,1.16097,0.0017624,0.0017624,0.0017624
8,6465.47,1.27492,0.91469,1.15176,0.84516,0.83065,0.86866,0.65441,0.92935,0.86868,1.21822,0.0017228,0.0017228,0.0017228
9,7166.81,1.2391,0.86534,1.14182,0.91355,0.92391,0.95445,0.7726,0.83665,0.66428,1.07566,0.0016832,0.0016832,0.0016832
10,7868.07,1.21895,0.87081,1.11373,0.97565,0.87102,0.94437,0.75093,0.78861,0.65334,1.05451,0.0016436,0.0016436,0.0016436
11,8570.91,1.19956,0.81292,1.12029,0.9541,0.77174,0.87673,0.72497,0.79536,0.7694,1.1032,0.001604,0.001604,0.001604
12,9274.53,1.18017,0.79718,1.10589,0.96314,0.85217,0.9421,0.7757,0.77475,0.65249,1.03722,0.0015644,0.0015644,0.0015644
13,9977.21,1.20095,0.8026,1.1097,0.91989,0.87378,0.9415,0.76082,0.77447,0.62772,1.02525,0.0015248,0.0015248,0.0015248
14,10680.8,1.17306,0.75733,1.10749,0.87805,0.90217,0.95651,0.80121,0.70752,0.56284,0.97752,0.0014852,0.0014852,0.0014852
15,11382.4,1.14866,0.74192,1.07672,0.93284,0.86957,0.93451,0.75265,0.81994,0.61224,1.05324,0.0014456,0.0014456,0.0014456
16,12085.1,1.10481,0.71524,1.06312,0.95797,0.90217,0.95958,0.80509,0.71397,0.50793,0.98803,0.001406,0.001406,0.001406
17,12789.6,1.13108,0.70945,1.06875,0.96768,0.86957,0.94045,0.78253,0.76041,0.56111,1.00691,0.0013664,0.0013664,0.0013664
18,13496.4,1.09688,0.67425,1.07069,0.98661,0.90217,0.9645,0.80584,0.66318,0.48484,0.94569,0.0013268,0.0013268,0.0013268
19,14209.7,1.12665,0.68831,1.06838,0.92514,0.9403,0.97242,0.79727,0.73153,0.45572,0.98416,0.0012872,0.0012872,0.0012872
20,14915.3,1.07763,0.65983,1.05543,0.91205,0.90174,0.95353,0.79437,0.68763,0.50162,0.97359,0.0012476,0.0012476,0.0012476
21,15621,1.09406,0.66733,1.05651,0.97609,0.88738,0.95741,0.83512,0.6389,0.44908,0.94017,0.001208,0.001208,0.001208
22,16324.4,1.08644,0.67131,1.05615,0.97693,0.92066,0.97129,0.81597,0.69085,0.44941,0.98536,0.0011684,0.0011684,0.0011684
23,17029.4,1.06461,0.63272,1.04574,0.94023,0.94565,0.97195,0.81651,0.68601,0.4472,0.96741,0.0011288,0.0011288,0.0011288
24,17732.3,1.04982,0.64719,1.05228,0.95966,0.8913,0.96521,0.8135,0.70256,0.47229,0.97616,0.0010892,0.0010892,0.0010892
25,18434.9,1.03197,0.60085,1.03014,0.88437,0.91448,0.966,0.82442,0.68636,0.50436,0.96664,0.0010496,0.0010496,0.0010496
26,19137.4,1.02836,0.5901,1.02909,1,0.85807,0.96821,0.82432,0.64866,0.44225,0.94675,0.00101,0.00101,0.00101
27,19842.8,1.01923,0.57818,1.03125,0.93437,0.92854,0.97294,0.80858,0.69447,0.45787,0.97401,0.0009704,0.0009704,0.0009704
28,20546.3,1.01902,0.57535,1.01849,0.93466,0.95652,0.98242,0.83064,0.67025,0.4004,0.94375,0.0009308,0.0009308,0.0009308
29,21250.1,1.03085,0.56595,1.02841,0.93326,0.91201,0.96531,0.80288,0.72003,0.44839,1.00262,0.0008912,0.0008912,0.0008912
